Cell_Lat,Cell_Lon,Contagem,Cell_Freq,Contagem_train,Cell_Freq_train,Nearest_Municipio
-18.2,-49.0,38,2.805823708619638e-05,36.0,3.8271245325061074e-05,BURITI ALEGRE
-18.2,-48.9,22,1.624424252358738e-05,22.0,2.338798325420399e-05,BURITI ALEGRE
-18.2,-48.6,25,1.8459366504076566e-05,14.0,1.4883262070857084e-05,CORUMBAÍBA
-18.2,-48.5,102,7.531421533663239e-05,56.0,5.9533048283428336e-05,CORUMBAÍBA
-18.2,-48.4,166,0.0001225701935870684,111.0,0.00011800300641893831,NOVA AURORA
-18.2,-48.3,39,2.8796611746359444e-05,34.0,3.614506502922435e-05,ANHANGUERA
-18.2,-48.2,252,0.00018607041436109178,209.0,0.0002221858409149379,ANHANGUERA
-18.2,-48.1,231,0.00017056454649766746,91.0,9.674120346057105e-05,GOIANDIRA
-18.2,-48.0,421,0.0003108557319286494,306.0,0.0003253055852630191,GOIANDIRA
-18.2,-47.9,928,0.0006852116846313221,513.0,0.0005453652458821203,OUVIDOR
-18.2,-47.8,176,0.00012995394018869904,159.0,0.00016903133351901974,OUVIDOR
-18.2,-47.7,175,0.00012921556552853596,145.0,0.00015414807144816266,OUVIDOR
